N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name
300,1301753,-0.72679589,0.00054872,0.001,0.54872,Linux x86_64,Greedy
300,1301756,-0.73650053,0.000550266,0.001,0.550266,Linux x86_64,Greedy
300,1301759,-0.74858935,0.000555315,0.001,0.555315,Linux x86_64,Greedy
300,1301762,-0.72436502,0.000556344,0.001,0.556344,Linux x86_64,Greedy
300,1301765,-0.74645855,0.000565386,0.001,0.565386,Linux x86_64,Greedy
300,1301768,-0.7414402,0.000557441,0.001,0.557441,Linux x86_64,Greedy
300,1301771,-0.74850924,0.00055431,0.001,0.55431,Linux x86_64,Greedy
300,1301774,-0.73958513,0.000555204,0.001,0.555204,Linux x86_64,Greedy
300,1301777,-0.73113645,0.000554642,0.001,0.554642,Linux x86_64,Greedy
300,1301780,-0.72791774,0.00054723,0.001,0.54723,Linux x86_64,Greedy
300,1301783,-0.73243804,0.000561802,0.001,0.561802,Linux x86_64,Greedy
300,1301786,-0.7413273,0.000547089,0.001,0.547089,Linux x86_64,Greedy
300,1301789,-0.74998679,0.000558052,0.001,0.558052,Linux x86_64,Greedy
300,1301792,-0.74618172,0.000551593,0.001,0.551593,Linux x86_64,Greedy
300,1301795,-0.74104696,0.000554284,0.001,0.554284,Linux x86_64,Greedy
300,1301798,-0.73599057,0.000561513,0.001,0.561513,Linux x86_64,Greedy
300,1301801,-0.76921736,0.000558563,0.001,0.558563,Linux x86_64,Greedy
300,1301804,-0.72976289,0.000551447,0.001,0.551447,Linux x86_64,Greedy
300,1301807,-0.73803685,0.000554987,0.001,0.554987,Linux x86_64,Greedy
300,1301810,-0.74319085,0.00054918,0.001,0.54918,Linux x86_64,Greedy
300,1301813,-0.74069588,0.000552791,0.001,0.552791,Linux x86_64,Greedy
300,1301816,-0.7416031,0.000555231,0.001,0.555231,Linux x86_64,Greedy
300,1301819,-0.73362443,0.000551988,0.001,0.551988,Linux x86_64,Greedy
